UF,PISA_2015,Rank_PISA,SAEB_9EF,Rank_SAEB,ENEM_3EM,Rank_ENEM,Sum_Ranks,Squared_Deviation
SC,419.0448367816091,4.0,264.3371268368136,1.0,519.7247432008477,6.0,11.0,961.0
DF,425.6687839029769,3.0,252.8589265536723,7.0,526.4805949021342,2.0,12.0,900.0
PR,434.5981805286912,1.0,251.0038747488279,10.0,523.8127401655003,3.0,14.0,784.0
MG,413.2888698153194,5.0,255.061133963313,5.0,523.0601070567092,4.0,14.0,784.0
ES,426.2743150384194,2.0,253.8123311897106,6.0,508.6899819789058,8.0,16.0,676.0
RS,406.2414977777778,8.0,255.94875,3.0,518.6014410733549,7.0,18.0,576.0
GO,407.3093841875248,6.0,255.090196969697,4.0,507.6786906675965,9.0,19.0,529.0
SP,407.1936239567992,7.0,252.7613167189953,8.0,521.8242265891859,5.0,20.0,484.0
MS,398.5322569360676,9.0,260.0154357298475,2.0,504.2584345589573,11.0,22.0,400.0
RJ,384.6358702726473,16.0,246.9734285714286,12.0,526.7516719203933,1.0,29.0,169.0
CE,396.0304953604568,11.0,252.1280215053764,9.0,488.8148177957429,21.0,41.0,1.0
MT,397.0918041556145,10.0,239.5697453310696,15.0,492.1467231894333,18.0,43.0,1.0
PE,382.3423837301587,17.0,239.2689907192575,17.0,500.053474985872,14.0,48.0,36.0
RO,382.2607878787878,18.0,250.2121006944444,11.0,489.9565920001846,20.0,49.0,49.0
RN,379.118088836478,19.0,237.2852910958904,18.0,504.1175331962648,12.0,49.0,49.0
PI,389.865438055166,15.0,237.2771975806452,19.0,492.939954301784,16.0,50.0,64.0
SE,369.144900990099,22.0,236.588155940594,20.0,507.0454988654413,10.0,52.0,100.0
AM,394.4574105392157,12.0,239.5294561403509,16.0,480.9817271923047,26.0,54.0,144.0
AC,390.2497596644785,14.0,242.2692537313433,13.0,480.0563782051282,27.0,54.0,144.0
PB,376.0826137071651,20.0,233.2384388807069,22.0,501.873958815012,13.0,55.0,169.0
RR,391.9942376196421,13.0,232.757037037037,23.0,488.4222653147444,22.0,58.0,256.0
BA,365.919911918795,25.0,233.3801268591426,21.0,497.6629093016217,15.0,61.0,361.0
TO,366.9771186778176,24.0,239.8554573170732,14.0,482.5846152607855,24.0,62.0,400.0
PA,368.6382872340426,23.0,230.994593495935,24.0,492.2441186912208,17.0,64.0,484.0
AP,375.7022662517289,21.0,227.464173553719,26.0,483.7826998733476,23.0,70.0,784.0
AL,358.9029788359789,27.0,230.4432783505155,25.0,491.2049673976976,19.0,71.0,841.0
MA,361.5622415584415,26.0,225.2102974598931,27.0,481.0515591041977,25.0,78.0,1296.0
